id	short	name	layer	outcome	status_override	status_note
F1	Conversion engine	Conversion engine	A	Docker strategy becomes the buildah ClusterBuildStrategy, S2I becomes source-to-image | Git, binary, image and inline-Dockerfile sources all convert | The plugin whiteouts the BuildConfig and emits the Build over the crane plugin protocol | Runs offline, never talks to a cluster		
F2	Image refs	Image references and registries	A	ImageStream references resolve through --imagestream-mapping and --registry-mapping | No match falls back to the internal registry URL, with a warning | Search, insecure and block registry lists pass through as strategy params | You can redirect output off the internal registry, and the plugin warns when that breaks an ImageStream watcher		
F3	Buildah parity	Buildah option parity	A	noCache, forcePull and squash become the no-cache, pull and squash params | dockerStrategy.from becomes runtime-stage-from | buildArgs carry over, including ConfigMap and Secret references | The shipped buildah strategy declares every one of these params		
F4	S2I parity	S2I option parity	A	The builder image becomes the builder-image param | Custom scripts, incremental builds and forcePull have params in the shipped strategy | The plugin still drops those three with an RFE warning		the strategy already has the params
F5	Credentials + volumes	Credentials, ServiceAccounts and volumes	B	A pull secret lands on a generated ServiceAccount | The plugin never overwrites a named ServiceAccount, it prints the oc command to link the secret instead | A missing push credential gets a warning that names it | Secret and ConfigMap volumes carry over with the exact strategy edit they need | Source secrets and ConfigMaps get a runbook instead of a half migration		
F6	Field coverage	BuildConfig field coverage	A	Labels and annotations copy over, minus the OpenShift-managed ones | completionDeadlineSeconds becomes spec.timeout | nodeSelector and the two history limits map to their Shipwright fields | Image labels become output labels | Resources become a BuildRun template in an annotation		
F7	Outcome + warnings	Conversion outcome and warnings	C	Each BuildConfig ends as converted, converted with warnings, skipped or failed, recorded on the object | A lossy conversion can never look clean | One bad BuildConfig never aborts the run | 62 warnings, each catalogued with what to do about it		
F8	Triggers	Triggers, preserved not converted	C	On OpenShift a BuildConfig starts builds by itself, from a git webhook, a new base image or a change to its own config. After migration nothing does: Builds for Red Hat OpenShift 1.9 ships no component that reads Shipwright's trigger section | The plugin keeps every trigger as sanitised JSON in an annotation on the Build, secrets and image IDs stripped, so they can be rebuilt once a triggers component exists | It warns once per trigger with the replacement: repoint the git webhook to Pipelines-as-Code or Tekton Triggers, start image-change builds from your own automation, create the first BuildRun by hand | The runbook that walks through those steps per trigger type is BUILD-2393, not started		nothing fires by itself on the target. BUILD-1706 and BUILD-2074 would change that, both New
F9	Safe re-runs	Safe migration runs	D	Converting twice gives byte-identical output | Generated names are valid DNS labels with a hash suffix and collision handling | No dry-run flag, because transform never touches a cluster		shipped, one cleanup left
F10	Tests and CI	Test infrastructure and CI	E	Unit tests with a coverage gate in CI | A transform E2E script | A Minikube cluster E2E run on every PR | A YAML-rules E2E framework with 18 real BuildConfigs, in review	in progress	no Jira stories, PR only
F11	Docs	Documentation and examples	F	Architecture page, support matrix, three worked examples, README rewrite and eight decision records are on main since 2026-09-03 | The volume runbook is on main | Trigger runbook, crane help text and the blog are not started		
F12	Agent skills	Agent skills and workflow	G	Seven Claude Code skills under .claude/skills in the plugin repo: tech-design with setup-repos, tech-implement, tech-review, tech-test, tech-document, deep-review and create-pr | Together they carry a story from design through implementation, review, test, docs and PR | Two audit process chores were closed without work		
F13	Param names	Param names match the shipped strategies	A	Every setting the plugin writes into a Build must exist under the same name in the buildah or source-to-image strategy on the target, or Shipwright refuses to register the Build | They match today. The five params added in 2026 landed in strategy-catalog and the operator ships a copy | Unit tests pin all ten names, and the Minikube E2E registers Builds against upstream sample strategies, which cover the base names only | A check inside the plugin was built in PR #58 and dropped: a wrong name already fails loudly, and a bundled copy cannot tell which operator release the target runs		names match today, catalog-only params verified by hand
F14	Upstream alignment	Upstream API and dependency alignment	G	The Shipwright omitempty API change shipped upstream | The plugin pins Shipwright v0.20.11 and a crane-lib pseudo-version | crane consuming omitempty waits on Shipwright v0.21		waits on Shipwright v0.21
F15	Pre-flight checks	Destination pre-flight checks	B	Would verify Shipwright, Tekton, the strategies and RBAC on the target before apply | Filed in May 2026 against the live crane convert, which could reach a cluster | The offline design came later. PR #1 on 2026-08-11 made the converter a crane plugin that never calls a cluster, and ADR-0001 records that rule | Closed Won't Do on 2026-08-17 because the check can no longer run where the code lives		would need a home that can reach the target cluster
