key	phase	feature	type	status	resolution	title	prs	gap	note
BUILD-1544	TP	F1	Feature	Closed	Done	DockerBuildStrategy Type Migration			
BUILD-1553	TP	F1	Feature	Closed	Done	SourceBuildStrategy Type Migration			
BUILD-1575	TP	F1	Feature	Closed	Done	BuildSource Type Migration			
BUILD-1650	TP	F8	Spike	Closed	Done	Build Trigger Spike			
BUILD-1667	TP	F1	Demo	Closed	Done	Interim Migration Tool Demo			
BUILD-1578	P1	F3	Feature	Closed	Done	RFE: Support --no-cache flag in Buildah Strategy			
BUILD-1746	P1	F3	Feature	Closed	Done	"RFE: Support ""runtime-stage-from"" in Buildah ClusterBuildStrategy"			
BUILD-1749	P1	F5	Feature	Closed	Done	RFE: Support registry pull secret in source to image cluster build strategies			handled through the generated ServiceAccount
BUILD-1756	P1	F2	Feature	Closed	Done	RFE: Support pushing output images to Openshift imagestreams			internal-registry output URL. The push-credential warning came with BUILD-2316
BUILD-1580	P2	F3	Feature	Closed	Done	RFE: Support --pull=always flag in Buildah Strategy			
BUILD-1581	P2	F3	Feature	Closed	Done	RFE: Support --squash flag in Buildah Strategy			
BUILD-1606	P2	F4	Feature	Closed	Done	RFE: Support --force-pull flag in S2I Strategy		1	the shipped strategy has the pull-policy param, the plugin still warns
BUILD-1607	P2	F4	Feature	Closed	Done	"RFE: Support ""--incremental"" flag in S2I Strategy"		1	the shipped strategy has the incremental param, the plugin still warns
BUILD-1641	P2	F4	Feature	Closed	Done	RFE: Support custom scripts in Source to Image strategy		1	the shipped strategy has the scripts-url param, the plugin still warns
BUILD-1652	P2	F6	Feature	Closed	Done	CommonSpec Misc Fields Migration			umbrella, split into BUILD-2261, 2262, 2264, 2265, 2269
BUILD-1656	P2	F6	Spike	Closed	Done	Build Progress Types Migration			answered by the Phase 3 gap analysis
BUILD-1726	P2	F5	Feature	Closed	Done	RFE: Support push secret in buildah strategy			native Shipwright output.pushSecret
BUILD-1743	P2	F14	Feature	Closed	Done	"RFE: Add ""omitempty"" tag in SingleValue Type in Shipwright (API Change)"			upstream API change; consumed by BUILD-2334
BUILD-1744	P2	F5	Feature	Closed	Done	RFE: Using secrets during build process			dropped with guidance, the strategies cannot mount them
BUILD-1745	P2	F5	Feature	Closed	Done	RFE: Use ConfigMaps during build process			same as BUILD-1744
BUILD-1747	P2	F5	Spike	Closed	Done	RFE: Identify common Volumes used in BuildConfig for DockerStrategy and SourceStrategy			
BUILD-1765	P2	F11	Documentation	Closed	Done	Docker to Buildah Migration with Binary Source	65		binary guidance landed in the support matrix
BUILD-1766	P2	F11	Documentation	Closed	Done	Docker to Buildah migration with Image Source			
BUILD-2038	P2	F5	Feature	Closed	Won't Do	RFE: Secret migration support for crane convert			crane export already migrates user secrets
BUILD-2039	P2	F15	Feature	Closed	Won't Do	RFE: Cross-cluster warning when Shipwright/Tekton not found on destination			
BUILD-2329	P2	F14	Chore	Closed	Done	Bump shipwright-io/build to v0.20.11 in crane-plugin-buildconfig-to-shipwright (plugin-only)	6		
BUILD-2330	P2	F14	Chore	Closed	Done	Crane repo go.mod hygiene: drop committed replace, re-pin post-wave, regen help, doc-vs-behavior CI			
BUILD-2331	P2	F12	Chore	Closed	Won't Do	Restack & rebase chore: sync mains, rebase fdff8c6-based branches, restack 2264/2269 onto fixed 2261, rebase operator 1606			
BUILD-2335	P2	F9	Feature	Closed	Done	Generated-name DNS-1123 validation + cross-BC collision detection	7		
BUILD-2336	P2	F1	Chore	Closed	Done	Track crane convert-plugin port (fd0c7ea branch)			closed as obsolete, the plugin repo supersedes the port
BUILD-2337	P2	F9	Feature	Closed	Obsolete	Dry-run mode + rollback/coexistence runbook			the transform step is the dry-run
